PlayDirection
RIGHT
MIDDLE
MIDDLE
MIDDLE
RIGHT
LEFT
RIGHT
LEFT
MIDDLE
LEFT
RIGHT
RIGHT
LEFT
LEFT
RIGHT
LEFT
MIDDLE
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
MIDDLE
RIGHT
RIGHT
RIGHT
MIDDLE
LEFT
LEFT
LEFT
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
LEFT
LEFT
LEFT
RIGHT
MIDDLE
MIDDLE
LEFT
LEFT
LEFT
RIGHT
LEFT
LEFT
RIGHT
LEFT
MIDDLE
RIGHT
MIDDLE
LEFT
LEFT
LEFT
MIDDLE
MIDDLE
LEFT
MIDDLE
RIGHT
LEFT
MIDDLE
MIDDLE
RIGHT
RIGHT
LEFT
LEFT
RIGHT
MIDDLE
MIDDLE
LEFT
LEFT
LEFT
LEFT
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
MIDDLE
LEFT
LEFT
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
RIGHT
MIDDLE
LEFT
RIGHT
LEFT
LEFT
MIDDLE
MIDDLE
MIDDLE
RIGHT
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
MIDDLE
LEFT
RIGHT
RIGHT
RIGHT
LEFT
LEFT
RIGHT
RIGHT
MIDDLE
LEFT
LEFT
LEFT
MIDDLE
LEFT
RIGHT
MIDDLE
MIDDLE
LEFT
LEFT
LEFT
MIDDLE
LEFT
RIGHT
LEFT
MIDDLE
LEFT
LEFT
LEFT
MIDDLE
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
MIDDLE
RIGHT
MIDDLE
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
RIGHT
MIDDLE
MIDDLE
MIDDLE
RIGHT
RIGHT
RIGHT
RIGHT
RIGHT
MIDDLE
RIGHT
MIDDLE
RIGHT
RIGHT
MIDDLE
MIDDLE
LEFT
RIGHT
LEFT
LEFT
MIDDLE
RIGHT
LEFT
RIGHT
MIDDLE
LEFT
MIDDLE
LEFT
LEFT
LEFT
RIGHT
LEFT
LEFT
MIDDLE
MIDDLE
RIGHT
RIGHT
LEFT
MIDDLE
RIGHT
MIDDLE
MIDDLE
RIGHT
MIDDLE
MIDDLE
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
LEFT
MIDDLE
RIGHT
MIDDLE
LEFT
RIGHT
LEFT
LEFT
RIGHT
RIGHT
LEFT
LEFT
RIGHT
LEFT
MIDDLE
RIGHT
LEFT
LEFT
MIDDLE
RIGHT
MIDDLE
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
RIGHT
RIGHT
LEFT
RIGHT
LEFT
RIGHT
RIGHT
LEFT
RIGHT
LEFT
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
LEFT
LEFT
RIGHT
RIGHT
RIGHT
RIGHT
LEFT
MIDDLE
RIGHT
LEFT
LEFT
RIGHT
MIDDLE
RIGHT
LEFT
LEFT
MIDDLE
RIGHT
RIGHT
LEFT
MIDDLE
LEFT
LEFT
LEFT
LEFT
RIGHT
RIGHT
RIGHT
LEFT
LEFT
MIDDLE
MIDDLE
LEFT
RIGHT
MIDDLE
LEFT
LEFT
LEFT
LEFT
RIGHT
LEFT
RIGHT
LEFT
LEFT
RIGHT
RIGHT
MIDDLE
RIGHT
LEFT
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
LEFT
RIGHT
RIGHT
LEFT
MIDDLE
RIGHT
LEFT
RIGHT
MIDDLE
RIGHT
MIDDLE
MIDDLE
LEFT
RIGHT
LEFT
LEFT
RIGHT
MIDDLE
MIDDLE
LEFT
LEFT
MIDDLE
MIDDLE
MIDDLE
RIGHT
MIDDLE
MIDDLE
MIDDLE
LEFT
RIGHT
LEFT
MIDDLE
LEFT
LEFT
RIGHT
RIGHT
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
MIDDLE
LEFT
RIGHT
LEFT
MIDDLE
RIGHT
MIDDLE
RIGHT
MIDDLE
LEFT
RIGHT
MIDDLE
MIDDLE
RIGHT
RIGHT
MIDDLE
LEFT
RIGHT
LEFT
LEFT
RIGHT
LEFT
MIDDLE
LEFT
LEFT
RIGHT
LEFT
LEFT
LEFT
LEFT
RIGHT
LEFT
LEFT
LEFT
RIGHT
LEFT
RIGHT
MIDDLE
RIGHT
RIGHT
LEFT
LEFT
LEFT
LEFT
RIGHT
RIGHT
LEFT
RIGHT
LEFT
LEFT
RIGHT
LEFT
LEFT
RIGHT
LEFT
RIGHT
LEFT
LEFT
LEFT
LEFT
RIGHT
MIDDLE
RIGHT
RIGHT
LEFT
RIGHT
LEFT
LEFT
RIGHT
RIGHT
MIDDLE
LEFT
RIGHT
LEFT
RIGHT
MIDDLE
LEFT
LEFT
RIGHT
LEFT
RIGHT
MIDDLE
RIGHT
LEFT
RIGHT
LEFT
MIDDLE
MIDDLE
LEFT
MIDDLE
LEFT
MIDDLE
MIDDLE
RIGHT
