PlayType
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
RUSH
