GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2018093009,2018-09-30,2,10,58,CLE,OAK,1,10,30,,0,,0,(10:58) 34-C.HYDE RIGHT END TO CLE 35 FOR 5 YARDS (22-R.MELVIN).,0,,,2018,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,30,OWN,0,,0,,0
2018093009,2018-09-30,2,10,25,CLE,OAK,2,5,35,,0,,0,"(10:25) (SHOTGUN) 34-C.HYDE RIGHT TACKLE TO CLE 36 FOR 1 YARD (22-R.MELVIN, 55-M.LEE).",0,,,2018,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,35,OWN,0,,0,,0
2018093012,2018-09-30,2,13,48,BAL,PIT,1,10,87,,0,,0,"(13:48) (SHOTGUN) 8-L.JACKSON RIGHT TACKLE TO PIT 9 FOR 4 YARDS (23-J.HADEN). PENALTY ON PIT-79-J.HARGRAVE, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT PIT 13 - NO PLAY.",0,,,2018,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,RIGHT TACKLE,13,OPP,1,PIT,1,DEFENSIVE OFFSIDE,5
2018093012,2018-09-30,2,12,45,BAL,PIT,1,2,98,,0,,0,"(12:45) 34-A.COLLINS LEFT GUARD TO PIT 2 FOR NO GAIN (24-C.SENSABAUGH). FUMBLES (24-C.SENSABAUGH), RECOVERED BY PIT-34-T.EDMUNDS AT PIT 1. 34-T.EDMUNDS TO PIT 1 FOR NO GAIN (42-P.RICARD).",0,,,2018,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,0,LEFT GUARD,2,OPP,0,,0,,0
2018123000,2018-12-30,3,9,30,BAL,CLE,3,2,75,,1,,0,(9:30) (SHOTGUN) 8-L.JACKSON RIGHT GUARD TO CLE 22 FOR 3 YARDS (93-T.COLEY).,0,,,2018,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,25,OPP,0,,0,,0
2018123000,2018-12-30,3,8,52,BAL,CLE,1,10,78,,0,,0,(8:52) (SHOTGUN) 35-G.EDWARDS UP THE MIDDLE TO CLE 20 FOR 2 YARDS (53-J.SCHOBERT).,0,,,2018,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,22,OPP,0,,0,,0
2018100100,2018-10-01,2,12,27,KC,DEN,1,10,78,,0,,0,(12:27) (NO HUDDLE) 27-K.HUNT RIGHT TACKLE TO DEN 18 FOR 4 YARDS (54-B.MARSHALL; 48-S.BARRETT).,0,,,2018,4,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,22,OPP,0,,0,,0
2018100703,2018-10-07,1,8,37,CLE,BAL,1,10,25,,0,,0,(8:37) 24-N.CHUBB RIGHT GUARD TO CLE 24 FOR -1 YARDS (57-C.MOSLEY).,0,,,2018,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0
2018100706,2018-10-07,4,6,40,NYJ,DEN,1,10,84,,0,,0,(6:40) 29-B.POWELL RIGHT GUARD TO DEN 15 FOR 1 YARD (48-S.BARRETT).,0,,,2018,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,16,OPP,0,,0,,0
2018100706,2018-10-07,4,5,57,NYJ,DEN,2,9,85,,0,,0,(5:57) 29-B.POWELL UP THE MIDDLE TO DEN 20 FOR -5 YARDS (47-J.JEWELL).,0,,,2018,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,15,OPP,0,,0,,0
