Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
1,0,38,3,11,40,0,SHOTGUN,OWN,TEN,PHI
2,13,27,3,4,11,1,SHOTGUN,OWN,PHI,TEN
2,12,50,1,10,42,1,SHOTGUN,OWN,PHI,TEN
2,12,20,1,10,52,0,NO HUDDLE SHOTGUN,OPP,PHI,TEN
2,11,11,1,10,25,1,UNDER CENTER,OWN,TEN,PHI
2,9,58,2,8,44,0,SHOTGUN,OWN,TEN,PHI
2,9,10,3,4,48,0,SHOTGUN,OWN,TEN,PHI
2,8,56,1,10,3,0,SHOTGUN,OWN,PHI,TEN
2,6,45,1,10,15,0,UNDER CENTER,OWN,PHI,TEN
2,6,8,2,4,21,1,SHOTGUN,OWN,PHI,TEN
2,5,30,3,4,21,1,SHOTGUN,OWN,PHI,TEN
2,4,46,1,10,31,1,SHOTGUN,OWN,PHI,TEN
2,4,12,1,10,44,1,SHOTGUN,OWN,PHI,TEN
2,3,21,2,17,18,0,SHOTGUN,OWN,TEN,PHI
2,3,15,3,17,18,0,SHOTGUN,OWN,TEN,PHI
2,2,22,1,10,14,0,SHOTGUN,OWN,PHI,TEN
2,2,0,2,8,16,1,SHOTGUN,OWN,PHI,TEN
2,1,54,1,10,25,0,SHOTGUN,OWN,PHI,TEN
2,1,23,2,13,22,1,NO HUDDLE SHOTGUN,OWN,PHI,TEN
2,1,18,1,10,36,1,SHOTGUN,OWN,PHI,TEN
2,1,10,1,10,47,0,SHOTGUN,OWN,PHI,TEN
2,0,41,1,10,20,1,SHOTGUN,OWN,TEN,PHI
3,15,0,1,10,25,0,SHOTGUN,OWN,PHI,TEN
3,13,44,1,10,36,1,SHOTGUN,OWN,PHI,TEN
3,7,2,2,7,28,0,SHOTGUN,OWN,TEN,PHI
3,6,38,3,1,34,1,NO HUDDLE SHOTGUN,OWN,TEN,PHI
3,5,10,2,22,42,0,SHOTGUN,OWN,TEN,PHI
3,2,9,2,7,28,1,SHOTGUN,OWN,PHI,TEN
3,0,40,2,8,38,1,SHOTGUN,OWN,PHI,TEN
4,14,15,2,20,40,0,SHOTGUN,OWN,PHI,TEN
4,8,51,2,10,25,0,SHOTGUN,OWN,PHI,TEN
4,8,9,3,6,29,0,SHOTGUN,OWN,PHI,TEN
4,7,55,1,10,25,1,UNDER CENTER,OWN,TEN,PHI
4,5,0,1,10,25,0,UNDER CENTER,OWN,PHI,TEN
4,4,55,2,10,25,1,SHOTGUN,OWN,PHI,TEN
4,3,3,3,4,42,0,SHOTGUN,OWN,PHI,TEN
4,2,5,2,9,21,0,SHOTGUN,OWN,TEN,PHI
4,1,59,3,3,27,0,SHOTGUN,OWN,TEN,PHI
5,8,55,1,10,41,1,SHOTGUN,OWN,PHI,TEN
5,5,47,2,3,32,1,SHOTGUN,OWN,TEN,PHI
5,5,11,1,10,36,0,SHOTGUN,OWN,TEN,PHI
5,5,4,2,10,36,0,SHOTGUN,OWN,TEN,PHI
5,4,58,3,10,36,0,SHOTGUN,OWN,TEN,PHI
5,4,51,4,15,31,1,SHOTGUN,OWN,TEN,PHI
1,10,2,1,10,18,0,SHOTGUN,OWN,ARI,SEA
1,9,57,2,10,18,0,UNDER CENTER,OWN,ARI,SEA
1,4,34,1,10,28,1,UNDER CENTER,OWN,ARI,SEA
2,12,36,3,9,27,0,UNDER CENTER,OWN,SEA,ARI
2,11,23,1,15,10,0,SHOTGUN,OWN,ARI,SEA
2,5,24,1,10,42,0,UNDER CENTER,OWN,ARI,SEA
2,1,52,1,10,25,0,SHOTGUN,OWN,SEA,ARI
2,1,18,1,10,36,0,SHOTGUN,OWN,SEA,ARI
2,1,12,2,10,36,1,SHOTGUN,OWN,SEA,ARI
2,0,46,2,21,36,0,SHOTGUN,OWN,SEA,ARI
2,0,41,3,14,43,0,NO HUDDLE SHOTGUN,OWN,SEA,ARI
3,14,15,2,12,28,0,SHOTGUN,OWN,ARI,SEA
3,12,45,1,10,22,0,SHOTGUN,OWN,SEA,ARI
3,11,0,2,10,33,1,SHOTGUN,OWN,SEA,ARI
3,10,15,1,10,46,0,UNDER CENTER,OWN,SEA,ARI
3,3,37,3,10,25,0,SHOTGUN,OWN,ARI,SEA
3,0,54,1,10,24,0,UNDER CENTER,OWN,ARI,SEA
4,14,22,2,11,33,0,SHOTGUN,OWN,ARI,SEA
4,14,17,3,11,33,0,SHOTGUN,OWN,ARI,SEA
4,14,3,1,10,19,1,UNDER CENTER,OWN,SEA,ARI
4,11,58,3,1,44,0,SHOTGUN,OWN,SEA,ARI
4,11,38,1,10,20,1,SHOTGUN,OWN,ARI,SEA
4,10,51,1,10,51,0,SHOTGUN,OPP,ARI,SEA
4,10,45,2,10,51,1,UNDER CENTER,OPP,ARI,SEA
4,9,7,2,13,78,1,UNDER CENTER,OPP,ARI,SEA
4,7,22,3,3,29,0,SHOTGUN,OWN,SEA,ARI
4,7,11,1,10,24,0,UNDER CENTER,OWN,ARI,SEA
4,7,6,2,10,24,0,SHOTGUN,OWN,ARI,SEA
4,6,29,3,5,29,1,SHOTGUN,OWN,ARI,SEA
4,5,10,2,8,37,1,SHOTGUN,OWN,ARI,SEA
4,3,52,2,8,60,0,SHOTGUN,OPP,ARI,SEA
4,1,25,1,10,48,0,NO HUDDLE SHOTGUN,OWN,SEA,ARI
1,14,28,2,10,25,0,UNDER CENTER,OWN,OAK,CLE
1,12,41,2,8,30,0,SHOTGUN,OWN,CLE,OAK
1,12,36,3,8,30,0,SHOTGUN,OWN,CLE,OAK
1,12,17,1,10,23,0,UNDER CENTER,OWN,OAK,CLE
1,11,1,3,4,29,0,SHOTGUN,OWN,OAK,CLE
1,10,11,2,8,25,1,SHOTGUN,OWN,CLE,OAK
1,10,1,1,10,25,0,SHOTGUN,OWN,CLE,OAK
